SP-115 sweep, 47 mutation(s)
M-az  SURVIVED  client/src/CcpClient.Desktop/Effects/BouncingTextSurfacePresenter.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-ba  SURVIVED  client/src/CcpClient.Desktop/Effects/BouncingTextSurfacePresenter.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bb  CAUGHT  client/src/CcpClient.Desktop/Effects/BouncingTextSurfacePresenter.cs  Failed!  - Failed:     1, Passed:   241, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bc  CAUGHT  client/src/CcpClient.Desktop/Effects/BouncingTextSurfacePresenter.cs  Failed!  - Failed:     1, Passed:   241, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bd  CAUGHT  client/src/CcpClient.Desktop/Effects/BouncingTextSurfacePresenter.cs  Failed!  - Failed:     1, Passed:   241, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bg  SURVIVED  client/src/CcpClient.Desktop/Effects/BouncingTextEffect.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bh  SURVIVED  client/src/CcpClient.Desktop/Effects/BouncingTextEffect.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bi  CAUGHT  client/src/CcpClient.Desktop/Effects/BouncingTextEffect.cs  compile error
M-bj  SURVIVED  client/src/CcpClient.Desktop/Effects/BouncingTextEffect.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bk  SURVIVED  client/src/CcpClient.Desktop/Effects/BouncingTextEffect.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bl  SURVIVED  client/src/CcpClient.Desktop/Effects/BouncingTextEffect.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bm  SURVIVED  client/src/CcpClient.Desktop/Effects/BouncingTextEffect.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bn  SURVIVED  client/src/CcpClient.Desktop/Effects/GlyphTextSource.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bo  CAUGHT  client/src/CcpClient.Desktop/Effects/GlyphTextSource.cs  Failed!  - Failed:     4, Passed:   238, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bp  SURVIVED  client/src/CcpClient.Desktop/Effects/GlyphTextSource.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-bq  SURVIVED  client/src/CcpClient.Desktop/Effects/GlyphTextSource.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-br  SURVIVED  client/src/CcpClient.Desktop/Effects/GlyphTextSource.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)

TOTAL 47: caught 12, survived 34, not-patched 1
